benchmark_id,condition,rating,model,original_review,model_output,coherence_1_to_5,factual_grounding_1_to_5,adverse_event_focus_1_to_5,overall_quality_1_to_5,notes
1,Depression,2,BART,"Really bad. I didn't feel better at all just constantly ""wired"" like I had drank 6 cups of coffee. I couldn't sleep at all.","Really bad. I didn't feel better at all just constantly ""wired"" like I had drank 6 cups of coffee. I couldn't sleep at all.",5,5,5,4,"Accurate and coherent, but essentially copies the already-short review rather than compressing it."
1,Depression,2,T5,"Really bad. I didn't feel better at all just constantly ""wired"" like I had drank 6 cups of coffee. I couldn't sleep at all.","I didn't feel better at all just constantly ""wired"" like I had drank 6 cups of coffee.",4,5,3,3,"Grounded and concise, but omits the reported inability to sleep."
1,Depression,2,GPT-2,"Really bad. I didn't feel better at all just constantly ""wired"" like I had drank 6 cups of coffee. I couldn't sleep at all.","I was diagnosed with a rare form of cancer. I was told that I would have to undergo chemotherapy for the rest of my life. I had no idea what to expect. I felt like I was going to die. I went to the doctor and said, ""I don't know what to do. I",3,1,1,1,"Hallucinates cancer, chemotherapy, and other unsupported details; unrelated to the reported adverse effects."
2,Anxiety,10,BART,"I have have drug related issues for ~15 years. Dope, Speed. My, ""Psychiatrist"" diagnosed me with the word ""schizophrenia"", Anti-Phychotics are, VERY DANGEROUS!, they increased my anxiety and stress, MANY MANY, times over. Finally, after 15 years, 3 months, no drugs, I have found Oxazepam. 5mg. I read, you can take up too 120mg!. atm, I think I need about 10mg a day. I am doubting, whether I have ""schizophrenia"", at all. I am down to 1/2 minimum dose, tablet of, DANGEROUS Latuda. So called ""treatment"", with Anti-Phychotics, is CRIMINAL.","After 15 years, 3 months, no drugs, I have found Oxazepam 5mg. I am down to 1/2 minimum dose, tablet of, DANGEROUS Latuda. So called ""treatment"", with Anti-Phychotics, is CRIMINAL.",4,5,2,2,Grounded but preserves inflammatory wording and focuses on treatment details more than the reported anxiety and stress.
2,Anxiety,10,T5,"I have have drug related issues for ~15 years. Dope, Speed. My, ""Psychiatrist"" diagnosed me with the word ""schizophrenia"", Anti-Phychotics are, VERY DANGEROUS!, they increased my anxiety and stress, MANY MANY, times over. Finally, after 15 years, 3 months, no drugs, I have found Oxazepam. 5mg. I read, you can take up too 120mg!. atm, I think I need about 10mg a day. I am doubting, whether I have ""schizophrenia"", at all. I am down to 1/2 minimum dose, tablet of, DANGEROUS Latuda. So called ""treatment"", with Anti-Phychotics, is CRIMINAL.","my ""Psychiatrist"" diagnosed me with the word ""schizophrenia"" anti-Phychotics are, VERY DANGEROUS!, they increased my anxiety and stress, times over. after 15 years, 3 months, no drugs, I have found Oxazep",2,4,4,2,"Captures increased anxiety and stress, but the wording is fragmented and the output is cut off."
2,Anxiety,10,GPT-2,"I have have drug related issues for ~15 years. Dope, Speed. My, ""Psychiatrist"" diagnosed me with the word ""schizophrenia"", Anti-Phychotics are, VERY DANGEROUS!, they increased my anxiety and stress, MANY MANY, times over. Finally, after 15 years, 3 months, no drugs, I have found Oxazepam. 5mg. I read, you can take up too 120mg!. atm, I think I need about 10mg a day. I am doubting, whether I have ""schizophrenia"", at all. I am down to 1/2 minimum dose, tablet of, DANGEROUS Latuda. So called ""treatment"", with Anti-Phychotics, is CRIMINAL.","I was diagnosed with Schizophrenia at the age of 15. I was diagnosed as schizophrenic at the time of my diagnosis. I had been diagnosed with schizophrenia for over 15 years. I have never been diagnosed as a schizophrenic. I do not know if I am schizophrenic or not, but I am",2,1,1,1,Invents an age at diagnosis and produces contradictory claims about schizophrenia.
17,Anxiety,10,BART,"Klonopin is a wonderful drug for anxiety and panic attacks. However, once you start it is very hard to come off of. I stopped for 2 yrs and it took me 8 months to feel normal again. But if you really need it, this in my opinion works wonderful for anxiety and panic attacks.",Klonopin is a wonderful drug for anxiety and panic attacks. Once you start it is very hard to come off of. I stopped for 2 yrs and it took me 8 months to feel normal again.,5,5,5,5,"Clear, grounded summary that captures both benefit and difficulty discontinuing the medication."
17,Anxiety,10,T5,"Klonopin is a wonderful drug for anxiety and panic attacks. However, once you start it is very hard to come off of. I stopped for 2 yrs and it took me 8 months to feel normal again. But if you really need it, this in my opinion works wonderful for anxiety and panic attacks.",Klonopin is a great drug for anxiety and panic attacks. it took me 8 months to feel normal again.,4,5,3,3,"Accurate and readable, but weakens the discontinuation warning and omits that coming off the drug was difficult."
17,Anxiety,10,GPT-2,"Klonopin is a wonderful drug for anxiety and panic attacks. However, once you start it is very hard to come off of. I stopped for 2 yrs and it took me 8 months to feel normal again. But if you really need it, this in my opinion works wonderful for anxiety and panic attacks.","This is a very good drug for treating anxiety. It is very effective in treating panic attacks, but it is not as effective as other drugs. It does not cause any side effects. It can be used in combination with other drugs to treat panic attacks or to treat anxiety disorders. The side effects of this drug",4,1,1,1,"Fluent but invents comparative effectiveness, combination use, and a claim that there were no side effects."
20,Depression,6,BART,"I've been taking Setraline for about two weeks for Social anxiety and depression. . I used to take Paroxetine for 3 years and had to switch to Sertraline. Since I'm taking Sertraline I've noticed that I am grumpy and have a very short temper. Any little thing can blow my lid and I honestly hate myself at the moment. I'm so easily irritated that it really annoys me. Yes, I'm getting mad at myself for getting mad at anything. I experience no sexual side effects which is good because Paroxetine kind of muted me down there. It doesn't help much with my depression or social anxiety at the moment. I'll give it a month and maybe increase the dosage.",I've been taking Setraline for about two weeks for Social anxiety and depression. I experience no sexual side effects which is good because Paroxetine kind of muted me down there. I'll give it a month and maybe increase the dosage.,5,5,1,2,"Grounded and readable, but misses the main adverse effects: irritability, anger, and short temper."
20,Depression,6,T5,"I've been taking Setraline for about two weeks for Social anxiety and depression. . I used to take Paroxetine for 3 years and had to switch to Sertraline. Since I'm taking Sertraline I've noticed that I am grumpy and have a very short temper. Any little thing can blow my lid and I honestly hate myself at the moment. I'm so easily irritated that it really annoys me. Yes, I'm getting mad at myself for getting mad at anything. I experience no sexual side effects which is good because Paroxetine kind of muted me down there. It doesn't help much with my depression or social anxiety at the moment. I'll give it a month and maybe increase the dosage.",I used to take Paroxetine for 3 years and had to switch to Sertraline. since I'm taking Setraline I've noticed that I am grumpy and have a very short temper.,4,5,5,4,Accurately captures the key adverse effect of irritability and short temper; minor wording issues.
20,Depression,6,GPT-2,"I've been taking Setraline for about two weeks for Social anxiety and depression. . I used to take Paroxetine for 3 years and had to switch to Sertraline. Since I'm taking Sertraline I've noticed that I am grumpy and have a very short temper. Any little thing can blow my lid and I honestly hate myself at the moment. I'm so easily irritated that it really annoys me. Yes, I'm getting mad at myself for getting mad at anything. I experience no sexual side effects which is good because Paroxetine kind of muted me down there. It doesn't help much with my depression or social anxiety at the moment. I'll give it a month and maybe increase the dosage.","I have been taking this medication for about 2 weeks now. I've been using it for about a month now and I've had no negative side effects. I feel like I'm on the right track. I don't know if I'll be able to get back on the medication any time soon, but I",3,1,1,1,Contradicts the review by claiming no negative side effects and changes the treatment duration.
23,Depression,1,BART,"This medicine has done nothing for my anxiety and depression, but it has made me impotent, fat, lethargic, and I am suffering from angioedema regularly. (Look that one up, and enjoy)","This medicine has done nothing for my anxiety and depression, but it has made me impotent, fat, lethargic, and I am suffering from angioedema regularly.",5,5,5,5,"Accurate, coherent, and focused on the reported adverse effects and lack of benefit."
