benchmark_id,condition,rating,review_clean,bart_summary,bart_inference_seconds,bart_compression_ratio,t5_summary,t5_inference_seconds,t5_compression_ratio,gpt2_output,gpt2_inference_seconds,gpt2_compression_ratio
1,Depression,2,"Really bad. I didn't feel better at all just constantly ""wired"" like I had drank 6 cups of coffee. I couldn't sleep at all.","Really bad. I didn't feel better at all just constantly ""wired"" like I had drank 6 cups of coffee. I couldn't sleep at all.",1.1707159389998196,1.0,"I didn't feel better at all just constantly ""wired"" like I had drank 6 cups of coffee.",0.7741579710000224,0.7083333333333334,"I was diagnosed with a rare form of cancer. I was told that I would have to undergo chemotherapy for the rest of my life. I had no idea what to expect. I felt like I was going to die. I went to the doctor and said, ""I don't know what to do. I",2.2196923259998584,2.25
2,Anxiety,10,"I have have drug related issues for ~15 years. Dope, Speed. My, ""Psychiatrist"" diagnosed me with the word ""schizophrenia"", Anti-Phychotics are, VERY DANGEROUS!, they increased my anxiety and stress, MANY MANY, times over. Finally, after 15 years, 3 months, no drugs, I have found Oxazepam. 5mg. I read, you can take up too 120mg!. atm, I think I need about 10mg a day. I am doubting, whether I have ""schizophrenia"", at all. I am down to 1/2 minimum dose, tablet of, DANGEROUS Latuda. So called ""treatment"", with Anti-Phychotics, is CRIMINAL.","After 15 years, 3 months, no drugs, I have found Oxazepam 5mg. I am down to 1/2 minimum dose, tablet of, DANGEROUS Latuda. So called ""treatment"", with Anti-Phychotics, is CRIMINAL.",1.3433079179999368,0.3333333333333333,"my ""Psychiatrist"" diagnosed me with the word ""schizophrenia"" anti-Phychotics are, VERY DANGEROUS!, they increased my anxiety and stress, times over. after 15 years, 3 months, no drugs, I have found Oxazep",3.5102686759996686,0.34444444444444444,"I was diagnosed with Schizophrenia at the age of 15. I was diagnosed as schizophrenic at the time of my diagnosis. I had been diagnosed with schizophrenia for over 15 years. I have never been diagnosed as a schizophrenic. I do not know if I am schizophrenic or not, but I am",3.8795607430001837,0.5777777777777777
3,Anxiety,10,"This medicine saved my life when I was 17 years old and so agoraphobic, with panic attacks multiple times a day. This was back in 1969, and within 6 weeks, I began to go out and go to college and do all the things a normal person does. I used it for many years, though with a lessened dosage. It seems especially good for anxiety attacks. While they did not entirely go away, seemed to lessen them to the extent that they were a minor occasional nuisance rather than something that prevented me from living a normal life and leaving the house. Yes, psychotherapy also helped, but before this medicine, I had been in therapy for three years and the anxiety/panic only got worse. Of course, this is just one person's experience.","This medicine saved my life when I was 17 years old and so agoraphobic, with panic attacks multiple times a day. Within 6 weeks, I began to go out and go to college and do all the things a normal person does. I used it for many years, though with a lessened",1.4011320510003316,0.3939393939393939,"this medicine saved my life when I was 17 years old and so agoraphobic, with panic attacks multiple times a day. within 6 weeks, I began to go out and go to college and do all the things a normal person does.",1.971601556999758,0.3181818181818182,"This is the most common adverse event that occurs when a person is diagnosed with an anxiety disorder. It is usually caused by an underlying medical condition, such as a heart attack, stroke, or cancer. It can also be caused by a medical condition such as diabetes, hypertension, diabetes mellitus, or any other",3.490852552999968,0.4015151515151515
4,Anxiety,10,"I am 47 with such an exhausting history of anxiety that had led me to self medicate with alcohol, until finally finding the correct medical doctor. Doctors in the past have been writing me scrips that have been making me crazier and crazier, just adding to my problem. Now I am alcohol free with no panic attacks, I have no problems being by myself and keeping occupied with work and fun things to do. I sleep like a baby all through the night. It's wonderful.","I am 47 with such an exhausting history of anxiety that had led me to self medicate with alcohol, until finally finding the correct medical doctor. Doctors in the past have been writing me scrips that have been making me crazier and crazier, just adding to my problem. Now I am alcohol",1.3504350050002358,0.611764705882353,47-year-old is alcohol free with no panic attacks. i sleep like a baby all through the night.,0.6288832199998069,0.2,"I was diagnosed with anxiety in the early 1990s. I had been diagnosed with depression in the mid-1990s, and had been on antidepressants for a long time. I was in the middle of a long-term relationship with a man who had been in a relationship with me for over a decade. I",2.895446254000035,0.611764705882353
5,Depression,9,"Since 2007, I've taken Lexapro in varying doses from 10 - 40 mg. Now 2017, I believe it no longer worked as it once did. My Psychiatrist had mentioned Celexa to me, explaining it's basically the same compound construction but ONE Molecule. I have marked Depression, but also suffer from Stress, Anxiety, Post-traumatic Stress, some OCD tendencies, ADHD & sleep issues. I have been on 20 mg of this, Celexa, now for over a week and immediately, within 2-3 days, felt the difference, in a great way! My body is extremely sensitive to certain types of Psych meds. My body also metabolizes medications differently from season to season. I believe at the right dose of this, Celexa, I will be able to come off of the 2mg of Clonazepam. Give it time!","Since 2007, I've taken Lexapro in varying doses from 10 - 40 mg. Now 2017, I believe it no longer worked as it once did. My Psychiatrist had mentioned Celexa to me, explaining it's basically the same compound construction but ONE Molecule. I have been on 20",1.3752487079996172,0.3560606060606061,"my body is extremely sensitive to certain types of Psych meds. I believe at the right dose, Celexa, I will be able to come off of the 2mg of Clonazepam.",1.1752530460003072,0.22727272727272727,"I have been taking this for over 2 weeks now. I feel like I'm on the verge of a relapse. I'm not sure if it's because I've been taking too much, or if I'm taking too little. I don't know if I've ever felt this way before, but I'm",2.2422838799998317,0.3712121212121212
6,Anxiety,1,I have used Xanax for the past 15 years for severe anxiety and panic attacks...recently my doctor wanted me to try Vistaril in stead..it does NOTHING for my symptoms...going to go back to what I know works!,I have used Xanax for the past 15 years for severe anxiety and panic attacks...recently my doctor wanted me to try Vistaril in stead..it does NOTHING for my symptoms...going to go back to what I know works!,0.7315841409999848,1.0,I have used Xanax for the past 15 years for severe anxiety and panic attacks...recently my doctor wanted me to try Vistaril in stead. it does NOTHING for my symptoms...going to go back to what I know works!,0.9065587250001954,1.027027027027027,"1. Xanax does not work for me.

2. It does not help me with my anxiety or panic attacks

3. It is not effective for me

4. I do not know what to do with it

5. I am not sure if it works for me or",1.1159855969999626,1.2702702702702702
7,Anxiety,10,"Xanax has been a life saver. I have always had problems feeling a little anxious. But once I was diagnosed as having a brain tumor at 26, it only made things worse. My doctor prescribed Lexapro, which worked okay, but I didn't like the way it made me feel, so I stopped taking them on my own. One particular night about 3 weeks ago, I got so upset that I thought I was having a heart attack. I was dizzy, chest hurting and pounding, weakness. Nobody could find anything medically wrong with me. I asked the doctor for something for anxiety to which he prescribed Xanax 0.25mg every 6 hours and within the 30 minutes of taking it, all my symptoms had diminished. Xanax really saved my life.","Xanax has been a life saver. I have always had problems feeling a little anxious. But once I was diagnosed as having a brain tumor at 26, it only made things worse. I asked the doctor for something for anxiety to which he prescribed Xanax 0.25mg every 6 hours.",0.951537941999959,0.3828125,"Xanax was diagnosed with a brain tumor at 26. he prescribed 0.25mg every 6 hours for anxiety. after taking it, all my symptoms had diminished.",0.603239592999671,0.1953125,I was diagnosed with a brain tumour at 26 years old. I had been taking Xanax for a year and a half and had never had an adverse event before. I felt like I was going to die. I went to the doctor and told him that I was not going to be able to take Xan,0.800677333999829,0.4453125
8,Anxiety,4,"Been on and off anti depressants for 10 years (still can't believe it). Tried Paxil and currently take 10 mg of Lexapro. Still do not feel well. I find running helps me more than anything but I fear the day the running is too much. I'm 40 and in otherwise good health, but I feel pretty lousy almost every single day. I am happy to read about people doing well on medication, but all I get from it is dizziness/lightheaded. Still optimistic about one day looking back at this nightmare in disbelief. Until then.",Been on and off anti depressants for 10 years (still can't believe it). Tried Paxil and currently take 10 mg of Lexapro. Still do not feel well.,0.8545860899998843,0.2872340425531915,"running helps me more than anything but I fear the day the running is too much. I'm 40 and in otherwise good health, but I feel pretty lousy every single day.",0.5860690339995926,0.32978723404255317,"I've been taking Paxil for about a year now. I've been using it for a year and a half now, and I've never felt better. I feel like I'm getting better and better every day, but it's been a long time since I've used it. I don't know if",0.7889912810001078,0.5212765957446809
9,Anxiety,1,I tried it for anxiety and aggresive behavior. With in a few minutes of taking the first dosage I became catonic. Tried again two more times and each time the same thing; Dr. changed my medication after that and said that happens in a very few patients on Buspar.,I tried it for anxiety and aggresive behavior. With in a few minutes of taking the first dosage I became catonic. Dr. changed my medication after that and said that happens in a very few patients on Buspar.,0.8903767570000127,0.7755102040816326,in a few minutes of taking the first dose I became catonic. tried it for anxiety and aggresive behavior.,0.41849798600014765,0.3877551020408163,"I have been using Buspar for over a year now. I have had no adverse events. I am very happy with the results. I would recommend Buspar to anyone who is looking for a safe, effective, and effective treatment for anxiety, anxiety-related disorders, or any other type of anxiety disorder.",0.783016886999576,1.0204081632653061
10,Depression,4,"I have been on Cymbalta for depression for 3 weeks now. I have had a wide range of side effects sleeplessness, stomach cramps, loss of appetite, sweating, nausea, a constant bad taste in my mouth and a total loss of libido. I spoke to my doctor about this and he said it may take a few weeks to really kick in. I hope it hurries up. I had been on other antidepressants a few years ago with no side effects. After 2 days I feel the medicine has lifted me slightly but not as much as I would have hoped.","I have been on Cymbalta for depression for 3 weeks now. I have had a wide range of side effects sleeplessness, stomach cramps, loss of appetite, sweating, nausea, a constant bad taste in my mouth and a total loss of libido. I had been on other antidepressants",1.283392946999811,0.47,"I have had a wide range of side effects sleeplessness, stomach cramps, loss of appetite, sweating, nausea, a constant bad taste in my mouth and a total loss of libido. after 2 days the medicine has lifted me slightly but not as much as I would",0.8777781500002675,0.46,This is a very serious adverse event. I am not sure how long it will take for me to recover from this. I would like to know how long I will have to wait to see a doctor. I do not know if I will be able to go back to my normal life. I feel like I,0.7812874169999304,0.58
