uniqueID,drugName,condition,review_clean,rating,usefulCount,ae_flag,ae_label,ae_probabilities,ner_entities,symptoms_extracted,symptom_clusters,cluster_id
75612,L-Methylfolate,Depression,"I have taken anti-depressants for years, with some improvement but mostly moderate to severe side affects, which makes me go off them. I only take Cymbalta now mostly for pain. When I began Deplin, I noticed a major improvement overnight. More energy, better disposition, and no sinking to the low lows of major depression. I have been taking it for about 3 months now and feel like a normal person for the first time ever. Best thing, no side effects.",10,54,0,2,"[0.25246885418891907, 0.028636176139116287, 0.718894898891449]","[('years', 'DATE'), ('Cymbalta', 'PRODUCT'), ('Deplin', 'GPE'), ('about 3 months', 'DATE'), ('first', 'ORDINAL')]",[],[],
96233,Sertraline,Depression,1 week on Zoloft for anxiety and mood swings. I take 50mg in the mornings with my breakfast. Nausea on day one but that subsided as the week went on. I get the jitters about 2 hrs after taking it followed by yawning. I feel much better though and less angry/stressed.,8,3,1,0,"[0.524031400680542, 0.025519322603940964, 0.45044928789138794]","[('1 week', 'DATE'), ('Zoloft', 'GPE'), ('50', 'CARDINAL'), ('day one', 'DATE'), ('the week', 'DATE'), ('about 2', 'CARDINAL')]",[],[],
121333,Venlafaxine,Depression,"my gp started me on Venlafaxine yesterday to help with depression and the change,a hour after taking them i was feeling very sick couldn,t stomach food or fluids, thought keep it up as she told me they did come with some side effects which would get better,took another one last night and was so ill i couldn,t stand ,being sick sweating shaking thought i was going to pass out. Did get some sleep hopeing to feel better this morning,took another one and felt so spaced out dry mouth shaking ,sick, so booked in to see gp again to make sure i should be feeling like this, only to find out she had put me on the wrong dose should have been on 37.5mg was put on 150mg, now on right dose hope this will be better",4,3,1,0,"[0.6290560364723206, 0.023156357929110527, 0.34778764843940735]","[('Venlafaxine', 'ORG'), ('yesterday', 'DATE'), ('a hour', 'TIME'), ('one last night', 'TIME'), ('this morning', 'TIME'), ('37.5', 'CARDINAL'), ('150', 'CARDINAL')]",[],[],
131704,Effexor Xr,Anxiety,"Was on this med for 5 years. Worked fine but not great. Stopped the panic attacks and gave me relief of every day nervousness that I was experiencing. Took months for the side effects to diminish when I first started taking it. What did not leave - insomnia, night sweats, lack of sex drive and poor orgasms (or no orgasms at all).",6,23,1,0,"[0.6328296661376953, 0.022878363728523254, 0.34429189562797546]","[('5 years', 'DATE'), ('every day', 'DATE'), ('months', 'DATE'), ('first', 'ORDINAL'), ('night', 'TIME')]",[],[],
131909,Effexor Xr,Depression,"This medicine saved my life. I was at my wits end with anti-depressants and was ready to give up. My doctor finally prescribed me this after many failed medications, I am so glad she did. I honestly do not know where I would be without Effexor XR. Side effects were very mild compared to other anti-depressants I tried. I was drowsy for the first couple days, but it was tolerable. I highly recommend this for severe depression. I would also like to mention for people to realize there is light at the end of the tunnel and YOU WILL GET BETTER, and to never give up.",10,166,0,2,"[0.25434398651123047, 0.028010237962007523, 0.7176458239555359]","[('Effexor XR', 'FAC'), ('the first couple days', 'DATE')]",[],[],
171349,Wellbutrin,Depression,Started taking it and I slept well at night and awoke early around 5 to start my day happily. But come 8 am and I am drowsy and needed to take already two hrs nap. Awake and resume My day with not much difficulties. Than st 2 pm again I needed a nap? So how was I gonna make it to work and my appointments too ? I went cold turkey. Felt much better after that. Only to crash again. I did try other anti depressants including pristique. But I suffered with insomnia with these meds. I know I need to start again but so confused if I should resume welbutrin,4,15,0,2,"[0.3522707223892212, 0.023162221536040306, 0.6245670914649963]","[('night', 'TIME'), ('8 am', 'TIME'), ('two', 'CARDINAL'), ('My day', 'DATE'), ('Felt', 'PERSON')]",[],[],
102810,Aripiprazole,Depression,"Intake Effexor XR 375 mg, and lorazepam for depression and anxiety. My doctor added Abilify and I took it in mornings. It made me foggy. I moved it to Bertie and sleep better overall. I have noticed an increase in irritability which equates to feeling extremely angry by 3 pm daily. I've rearranged my lorazepam to reduce that but need more time. I'm also having restlessness which almost feels manic. We shall see. Increased cravings for sweets.",4,33,1,0,"[0.5684847831726074, 0.02664834074676037, 0.40486690402030945]","[('375', 'CARDINAL'), ('Abilify', 'PERSON'), ('Bertie', 'PERSON'), ('3 pm daily', 'TIME')]",[],[],
163567,Mirtazapine,Anxiety,"I used it at bed time along with Paxil. I have anxiety and at times insomnia. The lower the dose(@ 7.5 mg), the more it becomes a sleep aid. It worked well for both anxiety and insomnia.",8,72,0,2,"[0.4860209822654724, 0.027574244886636734, 0.48640474677085876]","[('Paxil', 'GPE'), ('7.5', 'CARDINAL')]",[],[],
160750,Buspirone,Anxiety,"Have tried Paxil and Lexapro which sent me into hyper-panic and GAD. I was about to give up on medicines and accept my miserable anxiety as a fact of life when my Doctor recommended Buspirone. I noticed my anxiety began to taper the second day I took the medication. No real side effects to speak of through my first week. The one thing it has delivered for me, HOPE!",9,9,1,0,"[0.5629844665527344, 0.0273047536611557, 0.40971070528030396]","[('Paxil', 'PERSON'), ('Lexapro', 'PERSON'), ('GAD', 'ORG'), ('second', 'ORDINAL'), ('my first week', 'DATE'), ('one', 'CARDINAL')]",[],[],
65646,Propranolol,Anxiety,"I have been suffering with this anxiety problem for years and it was starting to interfere with my life. I am a confident person socially, but my fear of presentations was huge and I would my voice would tremble to the extent where it sounded like I was full on crying. I researched medication for this fear and found propanolol. My doctor prescribed me with 80mg Half Inderal (Propanolol) and despite what some say, he was not hesitant about giving me a prescription and said he regularly gives it to musicians/public speakers etc. It has worked wonders for me, I no longer embarrass my self and now feel happy and confident. You may still feel nervy, but the adrenaline does not kick in. I have not suffered any symptoms and only take it seldomly.",10,40,0,2,"[0.32500916719436646, 0.03257133811712265, 0.6424194574356079]","[('years', 'DATE'), ('80', 'CARDINAL')]",[],[],
